YEAR,DETECTION_METHOD,FINES
2008,Police issued,155999
2009,Police issued,165252
2010,Police issued,171829
2011,Police issued,159874
2012,Police issued,166975
2013,Police issued,146415
2014,Police issued,132619
2015,Police issued,128385
2016,Police issued,114981
2017,Police issued,117909
2018,Police issued,113981
2019,Police issued,97367
2020,Mobile camera,138847
2020,Police issued,56304
2021,Mobile camera,178296
2021,Police issued,42784
2022,Mobile camera,312945
2022,Police issued,49397
2023,Mobile camera,280840
2023,Mobile camera,30723
2023,Police issued,46599
